job,seed,policy,bins,unplaced,utilisation,runtimeMs,nfpMs,scoreLoopsMs,apiMs
hard-01,1,classic,3,0,0.4650587172538392,137.176693,114.481063,1.1491740000000448,0
hard-01,1,contact,3,0,0.4650587172538392,128.375489,101.04089400000001,1.592900999999813,0
hard-01,1,ga,3,0,0.4650587172538392,2010.809704,1806.8802359999995,6.959610000003352,0
hard-01,2,classic,3,0,0.4650587172538392,114.45208999999977,101.98077400000011,0.864940000000388,0
hard-01,2,contact,3,0,0.4650587172538392,120.7608180000002,98.23779999999988,2.0154059999986202,0
hard-01,2,ga,3,0,0.4650587172538392,2067.552928,1884.3388330000007,6.159406999994189,0
hard-01,3,classic,3,0,0.4650587172538392,110.5467520000002,96.88522300000022,0.8703310000000783,0
hard-01,3,contact,3,0,0.4650587172538392,121.53338499999973,100.27193299999999,2.4310809999969933,0
hard-01,3,ga,3,0,0.4650587172538392,2004.7219569999997,1792.9135770000012,7.146078999990095,0
hard-01,4,classic,3,0,0.4650587172538392,106.5675940000001,93.32632899999953,0.817229999999654,0
hard-01,4,contact,3,0,0.4650587172538392,130.40157799999997,104.16185899999982,1.8923020000001998,0
hard-01,4,ga,3,0,0.4650587172538392,2053.750177000001,1862.1028629999983,5.7787740000076155,0
hard-01,5,classic,3,0,0.4650587172538392,110.80285900000126,98.39156299999922,0.7925880000002508,0
hard-01,5,contact,3,0,0.4650587172538392,112.05682700000034,91.20008400000006,1.557148000001689,0
hard-01,5,ga,3,0,0.4650587172538392,2036.543079000001,1853.2603649999983,5.413835999977891,0
hard-02,1,classic,4,0,0.4088599274268017,1737.2920240000003,1695.0366539999995,1.9770209999969666,0
hard-02,1,contact,3,0,0.5451465699024024,1796.0911340000002,1737.4205860000002,3.596491000000242,0
hard-02,1,ga,3,0,0.5451465699024024,2228.536625999999,2145.182421999998,4.112022000001161,0
hard-02,2,classic,3,0,0.5451465699024024,1730.6749789999994,1688.4497140000021,2.402649999999994,0
hard-02,2,contact,3,0,0.5451465699024024,1727.208541,1676.5570570000018,2.935369000006176,0
hard-02,2,ga,3,0,0.5451465699024024,3426.962113999998,3276.6608019999985,5.191575000011653,0
hard-02,3,classic,3,0,0.5451465699024024,1698.413833999999,1661.294716999997,1.9803530000062892,0
hard-02,3,contact,4,0,0.40885992742680183,1726.4863210000003,1667.1152019999972,3.4526020000157587,0
hard-02,3,ga,3,0,0.5451465699024024,2659.156294999997,2577.923805999999,3.6710760000169103,0
hard-02,4,classic,3,0,0.5451465699024024,1768.3889070000005,1724.0263590000031,2.2670190000062576,0
hard-02,4,contact,4,0,0.4088599274268017,1790.3218309999975,1730.534467999998,3.245303000046988,0
hard-02,4,ga,3,0,0.5451465699024024,2417.319488000001,2329.504856000007,4.0806399999710266,0
hard-02,5,classic,3,0,0.5451465699024024,1685.4086319999988,1647.6427169999952,2.2282610000183922,0
hard-02,5,contact,3,0,0.5451465699024024,1759.640277999999,1697.0127060000013,3.672162999995635,0
hard-02,5,ga,3,0,0.5451465699024024,2303.2591939999984,2227.586819999997,2.9807800000198768,0
hard-03,1,classic,4,0,0.4638066408542976,1345.0695369999958,1291.442637,2.531853999978921,0
hard-03,1,contact,4,0,0.4638066408542976,1392.9906950000004,1319.0391210000016,4.459111000011035,0
hard-03,1,ga,4,0,0.4638066408542976,2212.6760030000005,2042.143176999998,4.777331000041158,0
hard-03,2,classic,3,0,0.6184088544723969,1365.1111149999997,1313.265496,2.903604999984964,0
hard-03,2,contact,4,0,0.4638066408542976,1376.89847,1309.5153509999946,4.128061000017624,0
hard-03,2,ga,3,0,0.6184088544723969,2324.977810999997,2170.7709500000055,4.854425999961677,0
hard-03,3,classic,4,0,0.4638066408542976,1490.7753220000013,1438.9380139999994,2.345112999988487,0
hard-03,3,contact,4,0,0.4638066408542976,1407.497212000002,1330.4156289999955,4.541199999992386,0
hard-03,3,ga,4,0,0.4638066408542976,2040.0599799999982,1901.9964159999945,4.256091999995988,0
hard-03,4,classic,4,0,0.4638066408542976,1318.3808229999995,1264.5373299999992,3.070830000033311,0
hard-03,4,contact,4,0,0.4638066408542976,1413.2853629999954,1340.7524950000006,6.1457160000209115,0
hard-03,4,ga,3,0,0.6184088544723969,2771.2063049999997,2612.6398190000036,5.131403999992472,0
hard-03,5,classic,4,0,0.4638066408542976,1382.24669,1329.5279139999984,2.6321079999906942,0
hard-03,5,contact,4,0,0.4638066408542976,1537.9261620000034,1464.3942069999976,4.2922530000141705,0
hard-03,5,ga,4,0,0.4638066408542976,2138.792585999996,2029.7770290000044,3.621902999933809,0
hard-04,1,classic,4,0,0.5216576298596015,3298.8071289999934,3199.778483999995,3.622209999943152,0
hard-04,1,contact,4,0,0.5216576298596015,3681.953164999999,3538.7141830000037,6.1594720000139205,0
hard-04,1,ga,4,0,0.5216576298596015,3275.2483400000056,3171.7726170000096,3.682481000025291,0
hard-04,2,classic,4,0,0.5216576298596015,3345.6612569999998,3252.376946999997,3.632636000038474,0
hard-04,2,contact,4,0,0.5216576298596015,3287.6365459999943,3156.517768999998,6.600734999985434,0
hard-04,2,ga,4,0,0.5216576298596015,3244.747187000001,3124.564118999988,3.9160630000114907,0
hard-04,3,classic,4,0,0.5216576298596015,3145.5692810000037,3032.7631040000124,4.213329999984126,0
hard-04,3,contact,4,0,0.5216576298596015,3349.8605370000005,3236.0000940000027,5.8581190000113565,0
hard-04,3,ga,4,0,0.5216576298596015,3102.2906749999966,3001.169750999994,3.5952440000110073,0
hard-04,4,classic,4,0,0.5216576298596015,3122.6486659999937,3025.322279,3.2865050000400515,0
hard-04,4,contact,4,0,0.5216576298596015,3105.7840520000027,2999.2337879999977,5.622352000020328,0
hard-04,4,ga,4,0,0.5216576298596015,3194.967193000004,3085.676382999998,3.517292999982601,0
hard-04,5,classic,4,0,0.5216576298596015,3135.41204000001,3044.160329999999,5.236964000025182,0
hard-04,5,contact,4,0,0.5216576298596015,3149.3586069999874,3018.1822510000056,6.241710999980569,0
hard-04,5,ga,4,0,0.5216576298596015,3220.5964200000017,3105.421677999999,3.63256600004388,0
hard-05,1,classic,3,0,0.4658167825782093,724.1628429999982,700.1962639999983,0.7234119999484392,0
hard-05,1,contact,3,0,0.4658167825782093,718.0669879999914,686.5748759999988,1.663715000031516,0
hard-05,1,ga,3,0,0.4658167825782093,2010.8000699999975,1885.2700009999971,3.379428000043845,0
hard-05,2,classic,3,0,0.4658167825782093,738.0491980000079,708.1251489999995,1.505360000024666,0
hard-05,2,contact,3,0,0.4658167825782093,731.6195799999987,692.5414369999926,1.5339460000104737,0
hard-05,2,ga,3,0,0.4658167825782093,2331.3752130000066,2212.678543000002,3.542490999927395,0
hard-05,3,classic,3,0,0.4658167825782093,655.1045190000004,628.411546000003,0.943107000013697,0
hard-05,3,contact,3,0,0.4658167825782093,639.7077870000066,604.7780539999949,1.643106000017724,0
hard-05,3,ga,3,0,0.4658167825782093,2204.808751999997,2030.229434999972,4.014755000011064,0
hard-05,4,classic,3,0,0.4658167825782093,760.2452309999935,717.5790460000135,1.840985999951954,0
hard-05,4,contact,3,0,0.4658167825782092,722.2244719999871,688.7735760000069,1.4263239999854704,0
hard-05,4,ga,3,0,0.4658167825782093,2085.446551999994,1982.3416100000031,3.236680000089109,0
hard-05,5,classic,3,0,0.4658167825782093,721.3552409999975,675.5326620000124,0.893407999916235,0
hard-05,5,contact,3,0,0.4658167825782093,655.2307319999964,621.1792769999884,1.5811019999091513,0
hard-05,5,ga,3,0,0.4658167825782093,2162.0015089999943,2063.5873129999673,3.0024049999774434,0
hard-06,1,classic,3,0,0.5452269170579029,223.3410739999963,201.04422999999952,1.2532280000159517,0
hard-06,1,contact,3,0,0.5452269170579029,238.13245299999835,204.92521300000953,2.601745000021765,0
hard-06,1,ga,3,0,0.5452269170579029,2071.0407209999976,1845.7388859999774,6.409727000107523,0
hard-06,2,classic,3,0,0.5452269170579029,215.10994300001767,194.3100539999723,1.2200760000268929,0
hard-06,2,contact,3,0,0.5452269170579029,222.77093600001535,190.76224899999215,2.6267879999941215,0
hard-06,2,ga,3,0,0.5452269170579029,2081.7588849999884,1864.479108999978,5.6770270003180485,0
hard-06,3,classic,3,0,0.5452269170579029,227.45160999998916,203.9028190000099,1.6569139999628533,0
hard-06,3,contact,3,0,0.5452269170579029,238.39611500001047,204.41704100000788,2.574336999998195,0
